작성일,진행상황,카테고리,제목,링크,등록부서,조회수
2025.10.30,진행,봉사,2025 김장나눔 페스티벌 봉사자 모집 안내  [11월 27일],https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=1&slug=2025-%EA%B9%80%EC%9E%A5%EB%82%98%EB%88%94-%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C-%EB%B4%89%EC%82%AC%EC%9E%90-%EB%AA%A8%EC%A7%91-%EC%95%88%EB%82%B4-11%EC%9B%94-27%EC%9D%BC&keyword,사회공헌팀,341
2025.10.30,진행,국제교류,2026년 세종학당 문화인턴 파견 사업 설명회 개최 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=1&slug=2026%EB%85%84-%EC%84%B8%EC%A2%85%ED%95%99%EB%8B%B9-%EB%AC%B8%ED%99%94%EC%9D%B8%ED%84%B4-%ED%8C%8C%EA%B2%AC-%EC%82%AC%EC%97%85-%EC%84%A4%EB%AA%85%ED%9A%8C-%EA%B0%9C%EC%B5%9C-%EC%95%88%EB%82%B4&keyword,국제팀,359
2025.10.30,진행,채용,2025년 숭실대학교 G-LAMP 사업단 행정 직원 모집,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=1&slug=2025%EB%85%84-%EC%88%AD%EC%8B%A4%EB%8C%80%ED%95%99%EA%B5%90-g-lamp-%EC%82%AC%EC%97%85%EB%8B%A8-%ED%96%89%EC%A0%95-%EC%A7%81%EC%9B%90-%EB%AA%A8%EC%A7%91-3&keyword,자연과학대학 교학팀,287
2025.10.30,진행,장학,대한산업보건협회 산재 노동자 자녀 성장지원금 신청 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=1&slug=%EB%8C%80%ED%95%9C%EC%82%B0%EC%97%85%EB%B3%B4%EA%B1%B4%ED%98%91%ED%9A%8C-%EC%82%B0%EC%9E%AC-%EB%85%B8%EB%8F%99%EC%9E%90-%EC%9E%90%EB%85%80-%EC%84%B1%EC%9E%A5%EC%A7%80%EC%9B%90%EA%B8%88-%EC%8B%A0&keyword,장학팀,217
2025.10.29,진행,장학,한국고등교육재단 문우림 제5기 장학생 선발 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%ED%95%9C%EA%B5%AD%EA%B3%A0%EB%93%B1%EA%B5%90%EC%9C%A1%EC%9E%AC%EB%8B%A8-%EB%AC%B8%EC%9A%B0%EB%A6%BC-%EC%A0%9C5%EA%B8%B0-%EC%9E%A5%ED%95%99%EC%83%9D-%EC%84%A0%EB%B0%9C-%EC%95%88%EB%82%B4&keyword,장학팀,688
2025.10.29,완료,봉사,[노량진1동] 보행환경 개선 벽화 조성 봉사활동 모집 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%EB%85%B8%EB%9F%89%EC%A7%841%EB%8F%99-%EB%B3%B4%ED%96%89%ED%99%98%EA%B2%BD-%EA%B0%9C%EC%84%A0-%EB%B2%BD%ED%99%94-%EC%A1%B0%EC%84%B1-%EB%B4%89%EC%82%AC%ED%99%9C%EB%8F%99-%EB%AA%A8%EC%A7%91-%EC%95%88&keyword,사회공헌팀,259
2025.10.29,진행,비교과·행사,[교수학습혁신센터] 2025학년도 2학기 3차 학습법 워크숍(고정관념 깨기: 생각 뒤집기로 찾는 해답) 운영,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%EA%B5%90%EC%88%98%ED%95%99%EC%8A%B5%ED%98%81%EC%8B%A0%EC%84%BC%ED%84%B0-2025%ED%95%99%EB%85%84%EB%8F%84-2%ED%95%99%EA%B8%B0-3%EC%B0%A8-%ED%95%99%EC%8A%B5%EB%B2%95-%EC%9B%8C%ED%81%AC%EC%88%8D&keyword,교수학습혁신센터,1287
2025.10.29,진행,장학,"★ 2025학년도 2학기 특별장학금(주거비, 교통비, 근면숭실, 공인어학시험, 특별성적우수(12.5%), 가계곤란) 신청 안내",https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%E2%98%85-2025%ED%95%99%EB%85%84%EB%8F%84-2%ED%95%99%EA%B8%B0-%ED%8A%B9%EB%B3%84%EC%9E%A5%ED%95%99%EA%B8%88%EC%A3%BC%EA%B1%B0%EB%B9%84-%EA%B5%90%ED%86%B5%EB%B9%84-%EA%B7%BC%EB%A9%B4%EC%88%AD&keyword,장학팀,1670
2025.10.29,N/A,외국인유학생,서울글로벌센터 구석구석 서울탐방 구로 전통시장편 참여자 모집,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%EC%84%9C%EC%9A%B8%EA%B8%80%EB%A1%9C%EB%B2%8C%EC%84%BC%ED%84%B0-%EA%B5%AC%EB%A1%9C-%EC%A0%84%ED%86%B5%EC%8B%9C%EC%9E%A5%ED%8E%B8-%EC%B0%B8%EC%97%AC%EC%9E%90-%EB%AA%A8%EC%A7%91&keyword,국제팀,375
2025.10.29,진행,봉사,[우리동작장애인자립생활센터] 2025년 동작구 지역명소 어울림 체육대회 봉사자 모집,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%EC%9A%B0%EB%A6%AC%EB%8F%99%EC%9E%91%EC%9E%A5%EC%95%A0%EC%9D%B8%EC%9E%90%EB%A6%BD%EC%83%9D%ED%99%9C%EC%84%BC%ED%84%B0-2025%EB%85%84-%EB%8F%99%EC%9E%91%EA%B5%AC-%EC%A7%80%EC%97%AD%EB%AA%85%EC%86%8C&keyword,사회공헌팀,244
